"rt","stimulus","key_press","screenid","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","final_height_px","final_width_px","scale_factor","value","attr_trial","attractiveness_face","screen_id","attractiveness_rating"
"72001.30000000075","Welcome to the experiment. <br> We will start with a quick calibration of the screen. <br> Press any key to begin","13","welcome","html-keyboard-response","0","72016","0.0-0.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","","","",""
"","","","","resize","1","75651","0.0-1.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","307","0.6064197530864197","","","","",""
"","","","","call-function","2","75653","0.0-2.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","","","",""
"1608","<div style='width: 70%;margin:0 auto;'><h1>First part: Attractiveness Rating</h1><p>In this first part of the experiment you will be asked to rate how attractive you find different faces. Each face will appear only for a limited time (3 seconds) and you will then be able to give your rating on scale from 0-100.<p>Try to pay attention so that you do not miss the faces!</p><p>Press any key when you are ready</p></div>","32","instruction_attractiveness","html-keyboard-response","3","77263","0.0-3.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","","","",""
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/3 BF-039.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","4","80275","0.0-4.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","0","img/3 BF-039.jpg","",""
"2472.5","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","5","82750","0.0-5.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","0","","attractiveness_scale","61"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/16 BF-208.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","6","85753","0.0-6.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","1","img/16 BF-208.jpg","",""
"2411","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","7","88166","0.0-7.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","1","","attractiveness_scale","70"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/10 WF-220.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","8","91174","0.0-8.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","2","img/10 WF-220.jpg","",""
"2909.5999999996275","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","9","94085","0.0-9.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","2","","attractiveness_scale","75"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/16 BF-249.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","10","97092","0.0-10.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","3","img/16 BF-249.jpg","",""
"2886.7000000011176","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","11","99981","0.0-11.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","3","","attractiveness_scale","76"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/2 AF-230.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","12","102985","0.0-12.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","4","img/2 AF-230.jpg","",""
"8139.5","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","13","111127","0.0-13.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","4","","attractiveness_scale","73"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/10 WF-208.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","14","114138","0.0-14.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","5","img/10 WF-208.jpg","",""
"2461.5999999996275","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","15","116601","0.0-15.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","5","","attractiveness_scale","61"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/7 LF-219.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","16","119603","0.0-16.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","6","img/7 LF-219.jpg","",""
"2190.9000000003725","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","17","121796","0.0-17.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","6","","attractiveness_scale","73"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/17 WF-024.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","18","124804","0.0-18.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","","","","7","img/17 WF-024.jpg","",""
