"rt","stimulus","key_press","screenid","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","final_height_px","final_width_px","scale_factor"
"72001.30000000075","Welcome to the experiment. <br> We will start with a quick calibration of the screen. <br> Press any key to begin","13","welcome","html-keyboard-response","0","72016","0.0-0.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","",""
"","","","","resize","1","75651","0.0-1.0","1212121212121212121212121212121212121212121","2023-11-2 14:59","","307","0.6064197530864197"
